"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"RST1";"SW_SPST_B3U-1000P";1;"RST";;;
2;"J2";"IDC_Header_Straight_10pins";1;"rpi3con";;;
3;"R16,R14,R9,R10,R11,R15,R12,R13,R17,R18,R19,R20,R21,R2,R23,R24,R1,R22,R4,R50,R49,R3";"R_0805";22;"470";;;
4;"JP4";"R_0805";1;"~CSEN";;;
5;"C31,C30,C28,C26,C25,C24,C23,C21,C20,C19,C18,C17,C15,C10,C27,C16,C4,C5,C3,C7,C8,C1,C9,C11,C12,C13,C14,C29,C22";"C_0805";29;"100n";;;
6;"J30,J31,J28,J29";"MountingHole_3.2mm_M3_ISO14580";4;"MountingHole";;;
7;"U2";"DIP-28_W15.24mm_Socket";1;"MCP23S17";;;
8;"F1";"R_1210";1;"wiringPiNodeStruct";;;
9;"RV1";"Resistor_Horizontal_RM7mm";1;" SR101K05D";;;
10;"C2,C6";"c_elec_10x10.5";2;" EEEFK1J101P";;;
11;"J11";"AK300-2";1;"IN0";;;
12;"J24";"AK300-2";1;"IN6";;;
13;"J23";"AK300-2";1;"IN5";;;
14;"J25";"AK300-2";1;"IN7";;;
15;"J22";"AK300-2";1;"IN4";;;
16;"J14";"AK300-2";1;"IN3";;;
17;"J13";"AK300-2";1;"IN2";;;
18;"J12";"AK300-2";1;"IN1";;;
19;"J17,J10,J9,J8,J15,J27,J1,J26,J16";"AK300-3";9;"ARK3";;;
20;"U3";"DIP-18_W7.62mm_Socket_LongPads";1;"ULN2803A";;;
21;"U8,U10,U9,U7,U6,U4,U11,U5";"DIP-6_W7.62mm_Socket";8;"H11L3";;;
22;"J19,J4,J20,J6,J7,J21,J18,J5";"Pin_Header_Straight_2x01_Pitch2.54mm";8;"TP_ISO1";;;
23;"R40,R39,R38,R37,R25,R26,R28,R27";"R_0805";8;"470R";;;
24;"R8";"R_0805";1;"240R";;;
25;"R7";"R_0805";1;"150R";;;
26;"R6,R5";"R_0805";2;"100k";;;
27;"D5,D3,D1,D7,D4,D6,D18,D17,D16,D15,D14,D13,D12,D11,D10,D9,D8";"R_1206";17;"TS4148RXG";;;
28;"R47,R33,R34,R35,R36,R45,R46,R48";"R_1206";8;"0R";;;
29;"R31,R32,R41,R42,R43,R44,R29,R30";"R_1206";8;"15k";;;
30;"U1";"TO-220_Neutral123_Vertical";1;"LM317_TO3";;;
31;"JP14,JP15,JP12,JP13,JP11,JP8,JP9,JP10";"NetTie-II_SMD_NC_BIG";8;"Jumper_NC_Dual";;;
32;"JP3";"NetTie-I_Connected_SMD_SMALL";1;"A2";;;
33;"JP2";"NetTie-I_Connected_SMD_SMALL";1;"A1";;;
34;"JP1";"NetTie-I_Connected_SMD_SMALL";1;"A0";;;
35;"JP5,JP7";"NetTie-I_SMD_Small";2;"GND";;;
36;"K2,K3,K4,K5,K6,K7,K8,K1";"Relay_SANYOU_SRD_Series_Form_C";8;"RM50N3011851024";;;
